ID,Producto,Categoria,Precio,Descuento,Stock,Publicidad,Calificacion,Visitas_Web,Mes,Dia_Semana,Temporada,Ventas
1,Silla Gamer,Tecnologia,1323.4,28,280,Si,3.9,5784,Enero,Sabado,Fiestas Patrias,296
2,Monitor,Accesorios,1618.19,35,369,Si,3.8,1735,Diciembre,Lunes,Navidad,311
3,Router,Oficina,216.31,23,423,Si,1.8,5361,Enero,Lunes,Normal,275
4,Monitor,Gaming,1411.52,27,197,Si,2.5,239,Octubre,Lunes,Navidad,246
5,Escritorio,Gaming,335.31,50,373,No,3.1,1578,Julio,Martes,Black Friday,339
6,Smartwatch,Tecnologia,613.42,38,283,No,4.8,8483,Marzo,Sabado,Black Friday,371
7,Audifonos,Accesorios,1361.25,25,62,Si,1.9,6285,Abril,Domingo,Fiestas Patrias,253
8,Mouse,Oficina,1743.22,46,44,No,4.6,1635,Febrero,Miercoles,Fiestas Patrias,261
9,Smartwatch,Tecnologia,2325.58,1,399,Si,1.8,3893,Diciembre,Jueves,Navidad,226
10,Disco SSD,Oficina,3228.12,7,471,No,1.8,1066,Febrero,Viernes,Fiestas Patrias,163
11,Router,Accesorios,3364.88,20,217,Si,4.0,928,Diciembre,Lunes,Normal,172
12,Smartwatch,Computo,997.65,44,50,Si,2.2,114,Febrero,Domingo,Campaña Escolar,283
13,Tablet,Computo,74.41,8,353,Si,2.6,2745,Agosto,Sabado,Fiestas Patrias,266
14,Impresora,Computo,2704.02,4,499,Si,2.4,6234,Abril,Sabado,Fiestas Patrias,259
15,Router,Accesorios,3204.06,8,337,Si,2.8,3154,Septiembre,Sabado,Campaña Escolar,195
16,Celular,Oficina,1151.64,34,181,Si,3.6,8204,Mayo,Sabado,Navidad,357
17,Silla Gamer,Computo,1973.13,34,110,No,4.9,3890,Enero,Martes,Normal,213
18,Tablet,Computo,911.12,26,402,No,3.8,6027,Febrero,Martes,Navidad,327
19,Monitor,Oficina,108.46,12,188,Si,1.1,2840,Julio,Sabado,Black Friday,310
20,Audifonos,Accesorios,2440.4,36,416,No,3.4,1728,Abril,Sabado,Navidad,247
21,Escritorio,Gaming,2649.32,35,22,No,1.3,9964,Julio,Viernes,Black Friday,316
22,Monitor,Accesorios,2192.75,5,293,Si,4.2,3677,Septiembre,Jueves,Normal,204
23,Parlante,Tecnologia,1469.45,10,137,No,4.2,5642,Marzo,Sabado,Campaña Escolar,203
24,Router,Tecnologia,813.21,12,242,No,2.2,8951,Julio,Jueves,Navidad,272
25,Camara,Computo,1797.4,8,327,Si,1.9,713,Septiembre,Domingo,Normal,157
26,Silla Gamer,Gaming,1825.39,40,189,Si,2.5,6635,Mayo,Domingo,Fiestas Patrias,332
27,Audifonos,Oficina,3369.32,38,395,No,3.8,1686,Marzo,Jueves,Normal,212
28,Camara,Accesorios,199.15,36,233,Si,4.6,5299,Septiembre,Lunes,Fiestas Patrias,399
29,Teclado,Computo,1867.65,25,169,Si,3.2,4981,Marzo,Viernes,Navidad,291
30,Router,Computo,862.72,37,289,No,2.9,7827,Agosto,Lunes,Normal,276
31,Disco SSD,Computo,2224.68,10,249,Si,4.2,9389,Abril,Lunes,Campaña Escolar,326
32,Mouse,Oficina,3007.09,35,412,Si,3.8,8388,Febrero,Domingo,Navidad,364
33,Teclado,Oficina,1233.36,6,317,No,4.8,2009,Septiembre,Martes,Fiestas Patrias,212
34,Monitor,Gaming,498.57,27,450,No,1.5,5584,Diciembre,Sabado,Campaña Escolar,269
35,Tablet,Computo,3073.14,34,272,Si,3.6,8865,Agosto,Viernes,Black Friday,388
36,Monitor,Accesorios,861.65,47,263,Si,4.6,3158,Febrero,Miercoles,Normal,369
37,Router,Accesorios,3091.57,8,242,Si,2.4,2305,Enero,Lunes,Normal,167
38,Mouse,Tecnologia,312.81,7,429,Si,4.6,8495,Junio,Lunes,Navidad,367
39,Audifonos,Oficina,52.01,24,108,No,4.9,3011,Abril,Viernes,Campaña Escolar,255
40,Monitor,Oficina,2427.8,15,454,Si,1.9,8402,Julio,Martes,Normal,231
41,Silla Gamer,Oficina,82.9,13,286,No,1.7,9769,Junio,Jueves,Black Friday,328
42,Parlante,Tecnologia,2308.49,32,185,Si,1.4,8100,Noviembre,Sabado,Normal,278
43,Tablet,Computo,2234.44,21,247,Si,3.4,3486,Febrero,Martes,Campaña Escolar,266
44,Camara,Oficina,1531.69,20,295,No,3.6,7072,Marzo,Jueves,Campaña Escolar,262
45,Celular,Accesorios,1733.96,4,326,Si,3.0,7733,Febrero,Jueves,Navidad,283
46,Laptop,Gaming,636.35,27,167,Si,4.8,3494,Enero,Lunes,Campaña Escolar,292
47,Tablet,Oficina,3094.56,40,46,Si,4.7,351,Agosto,Martes,Black Friday,274
48,Teclado,Oficina,1360.14,22,170,No,2.3,8369,Enero,Jueves,Fiestas Patrias,280
49,Audifonos,Oficina,1316.95,41,232,No,4.4,5492,Diciembre,Sabado,Navidad,313
50,Teclado,Accesorios,2160.23,21,160,Si,1.6,204,Mayo,Martes,Normal,169
51,Escritorio,Computo,1047.61,25,282,No,4.4,7610,Enero,Lunes,Navidad,300
52,Camara,Gaming,1041.7,25,364,Si,2.0,8766,Marzo,Lunes,Navidad,376
53,Parlante,Accesorios,303.95,6,322,Si,3.5,2418,Febrero,Viernes,Normal,207
54,Tablet,Tecnologia,196.67,50,480,Si,1.1,5969,Octubre,Martes,Navidad,382
55,Router,Tecnologia,2032.41,21,60,No,2.9,624,Julio,Sabado,Navidad,184
56,Disco SSD,Computo,155.14,14,63,Si,3.1,3174,Abril,Sabado,Fiestas Patrias,257
57,Audifonos,Oficina,964.97,43,14,No,2.8,4919,Marzo,Sabado,Fiestas Patrias,282
58,Impresora,Tecnologia,1901.41,39,317,Si,1.5,4515,Enero,Jueves,Navidad,306
59,Mouse,Gaming,1816.73,29,156,Si,4.2,880,Abril,Viernes,Fiestas Patrias,285
60,Disco SSD,Computo,892.99,25,126,No,1.3,1200,Febrero,Martes,Fiestas Patrias,186
61,Teclado,Oficina,2441.99,0,67,Si,4.7,7855,Septiembre,Sabado,Fiestas Patrias,243
62,Silla Gamer,Gaming,1818.1,4,287,Si,3.9,8180,Mayo,Sabado,Normal,253
63,Audifonos,Tecnologia,882.1,15,444,Si,4.0,2794,Febrero,Sabado,Navidad,279
64,Audifonos,Computo,347.67,29,247,Si,4.9,6667,Octubre,Martes,Fiestas Patrias,342
65,Silla Gamer,Computo,1730.82,38,109,Si,1.7,9999,Septiembre,Jueves,Fiestas Patrias,331
66,Mouse,Oficina,3323.03,35,299,No,2.0,6955,Mayo,Lunes,Normal,234
67,Smartwatch,Accesorios,3268.36,31,266,No,3.2,4661,Noviembre,Miercoles,Campaña Escolar,245
68,Camara,Oficina,3306.0,27,393,Si,3.5,901,Septiembre,Lunes,Normal,211
69,Disco SSD,Accesorios,2022.65,49,172,Si,3.6,4050,Septiembre,Lunes,Fiestas Patrias,337
70,Tablet,Accesorios,2198.27,0,426,Si,3.6,1116,Enero,Miercoles,Fiestas Patrias,203
71,Disco SSD,Computo,701.35,12,21,Si,1.4,8995,Abril,Sabado,Campaña Escolar,255
72,Impresora,Gaming,1130.04,25,467,Si,1.1,467,Julio,Viernes,Campaña Escolar,243
